"code","loan_id","account_id","loan_amount","loan_duration","loan_payments","status","account_district_id","account_frequency","disp_id","client_id","has_disponent","client_district_id","gender","last_balance","monthly_diff","age_on_loan_request","age_on_loan_request_disc","region","no. of municipalities with inhabitants < 499","no. of municipalities with inhabitants 500-1999","no. of municipalities with inhabitants > 2000","no. of cities ","ratio of urban inhabitants","average salary","ratio enterpreneurs","unemploymant rate growth","crime rate growth"
30.0,5314.0,1787.0,96396.0,12.0,8033.0,-1.0,30.0,"weekly issuance",2166.0,2166.0,"False",30.0,"Female",20100.0,6700.0,46.0,"40-49","west Bohemia",15.0,13.0,10.0,10.0,0.818,9650.0,0.1,0.29000000000000004,-0.0019090410496561618
46.0,5316.0,1801.0,165960.0,36.0,4610.0,1.0,46.0,"monthly issuance",2181.0,2181.0,"False",46.0,"Male",52208.9,14733.0,25.0,"21-29","east Bohemia",48.0,20.0,10.0,10.0,0.735,8369.0,0.117,0.52,-0.0020938877995546053
45.0,6863.0,9188.0,127080.0,60.0,2118.0,1.0,45.0,"monthly issuance",11006.0,11314.0,"False",45.0,"Male",20272.8,-6859.0,57.0,"50-59","east Bohemia",85.0,19.0,7.0,5.0,0.535,8390.0,0.132,0.6100000000000003,5.390351271224508E-4
14.0,5325.0,1843.0,105804.0,36.0,2939.0,1.0,12.0,"monthly issuance",2235.0,2235.0,"False",14.0,"Female",34292.7,-11054.0,53.0,"50-59","south Bohemia",69.0,27.0,11.0,9.0,0.748,10045.0,0.135,0.29000000000000004,-0.0017390227705052733
63.0,7240.0,11013.0,274740.0,60.0,4579.0,1.0,1.0,"weekly issuance",13231.0,13539.0,"False",63.0,"Male",41142.9,-30531.0,15.0,"0-19","south Moravia",38.0,36.0,6.0,5.0,0.505,8288.0,0.11,0.7299999999999995,-0.0011790135586559245
13.0,6687.0,8261.0,87840.0,24.0,3660.0,1.0,13.0,"monthly issuance",9892.0,10200.0,"True",13.0,"Female",43847.8,-13741.0,14.0,"0-19","central Bohemia",61.0,22.0,2.0,2.0,0.413,8598.0,0.123,0.48999999999999977,0.005155690732738636
15.0,7284.0,11265.0,52788.0,12.0,4399.0,1.0,15.0,"monthly issuance",13537.0,13845.0,"False",15.0,"Male",21029.0,4185.0,21.0,"21-29","south Bohemia",22.0,16.0,8.0,5.0,0.519,9045.0,0.124,0.4700000000000002,5.782706306551466E-4
24.0,6111.0,5428.0,174744.0,24.0,7281.0,-1.0,24.0,"monthly issuance",6551.0,6551.0,"False",24.0,"Female",58140.9,9690.0,45.0,"40-49","west Bohemia",25.0,21.0,8.0,8.0,0.8,8991.0,0.128,0.6199999999999999,6.117305449295695E-4
18.0,7235.0,10973.0,154416.0,48.0,3217.0,1.0,18.0,"weekly issuance",13182.0,13490.0,"False",18.0,"Female",53402.7,8900.0,24.0,"21-29","south Bohemia",60.0,13.0,3.0,4.0,0.653,8968.0,0.131,0.52,0.002404560177654564
14.0,5997.0,4894.0,117024.0,24.0,4876.0,1.0,14.0,"monthly issuance",5911.0,5911.0,"False",14.0,"Male",53193.5,-12765.0,58.0,"50-59","south Bohemia",69.0,27.0,11.0,9.0,0.748,10045.0,0.135,0.29000000000000004,-0.0017390227705052733
55.0,7121.0,10364.0,21924.0,36.0,609.0,1.0,55.0,"monthly issuance",12446.0,12754.0,"True",55.0,"Male",49083.3,8039.0,33.0,"30-39","south Moravia",49.0,70.0,18.0,9.0,0.33899999999999997,8743.0,0.111,0.5500000000000003,0.001496414971790986
44.0,6077.0,5270.0,79608.0,24.0,3317.0,1.0,44.0,"monthly issuance",6367.0,6367.0,"False",44.0,"Male",103745.7,-37351.0,24.0,"21-29","east Bohemia",77.0,26.0,9.0,7.0,0.53,8254.0,0.097,0.9699999999999998,0.0015055962729390376
77.0,6228.0,6034.0,464520.0,60.0,7742.0,-1.0,6.0,"weekly issuance",7291.0,7291.0,"False",77.0,"Female",101797.3,9707.0,53.0,"50-59","north Moravia",8.0,35.0,15.0,4.0,0.535,8909.0,0.113,1.5499999999999998,8.751556767309569E-4
5.0,6356.0,6701.0,95400.0,36.0,2650.0,1.0,49.0,"weekly issuance",8091.0,8091.0,"False",5.0,"Male",27667.0,3074.0,23.0,"21-29","central Bohemia",65.0,30.0,5.0,6.0,0.514,9307.0,0.118,0.5799999999999996,0.004434404283801874
63.0,5523.0,2705.0,93888.0,36.0,2608.0,1.0,63.0,"issuance after transaction",3264.0,3264.0,"False",63.0,"Female",34716.3,-8705.0,43.0,"40-49","south Moravia",38.0,36.0,6.0,5.0,0.505,8288.0,0.11,0.7299999999999995,-0.0011790135586559245
46.0,6456.0,7123.0,47016.0,12.0,3918.0,1.0,64.0,"issuance after transaction",8598.0,8598.0,"False",46.0,"Female",58773.2,14637.0,36.0,"30-39","east Bohemia",48.0,20.0,10.0,10.0,0.735,8369.0,0.117,0.52,-0.0020938877995546053
68.0,7104.0,10320.0,259740.0,60.0,4329.0,1.0,68.0,"monthly issuance",12387.0,12695.0,"False",68.0,"Male",67219.5,-12643.0,15.0,"0-19","north Moravia",15.0,40.0,20.0,6.0,0.5720000000000001,9893.0,0.096,0.6299999999999999,0.00115360413899182
1.0,6820.0,9034.0,38148.0,12.0,3179.0,1.0,1.0,"monthly issuance",10818.0,11126.0,"False",1.0,"Female",47725.8,-11742.0,29.0,"21-29","Prague",0.0,0.0,1.0,1.0,1.0,12541.0,0.167,0.14,0.01114566294286997
11.0,6876.0,9236.0,86616.0,12.0,7218.0,1.0,11.0,"monthly issuance",11064.0,11372.0,"False",11.0,"Male",37253.1,9313.0,32.0,"30-39","central Bohemia",35.0,36.0,9.0,7.0,0.365,9622.0,0.154,0.13999999999999996,7.139363010166982E-4
54.0,7097.0,10266.0,75624.0,24.0,3151.0,-1.0,54.0,"monthly issuance",12317.0,12625.0,"False",54.0,"Male",41954.8,5993.0,35.0,"30-39","south Moravia",0.0,0.0,1.0,1.0,1.0,9897.0,0.14,0.3599999999999999,-6.450447661067678E-5
1.0,4959.0,2.0,80952.0,24.0,3373.0,1.0,1.0,"monthly issuance",2.0,2.0,"True",1.0,"Male",27855.2,-14402.0,49.0,"40-49","Prague",0.0,0.0,1.0,1.0,1.0,12541.0,0.167,0.14,0.01114566294286997
1.0,6499.0,7401.0,80952.0,24.0,3373.0,1.0,1.0,"monthly issuance",8865.0,9173.0,"True",1.0,"Male",28763.7,-14319.0,49.0,"40-49","Prague",0.0,0.0,1.0,1.0,1.0,12541.0,0.167,0.14,0.01114566294286997
