account_id,account_district_id,account_frequency
576,55,monthly issuance
3818,74,monthly issuance
704,55,monthly issuance
2378,16,monthly issuance
2632,24,monthly issuance
1972,77,monthly issuance
1539,1,issuance after transaction
793,47,monthly issuance
2484,74,monthly issuance
1695,76,monthly issuance
1726,48,monthly issuance
2881,70,monthly issuance
2357,19,monthly issuance
2177,62,monthly issuance
485,6,issuance after transaction
652,21,monthly issuance
9635,70,monthly issuance
1844,44,monthly issuance
1926,37,monthly issuance
2393,10,monthly issuance
3510,41,monthly issuance
1276,36,monthly issuance
1637,1,monthly issuance
3871,26,monthly issuance
192,55,monthly issuance
764,1,monthly issuance
2087,7,weekly issuance
2122,68,monthly issuance
3592,54,monthly issuance
3487,41,monthly issuance
435,38,monthly issuance
1730,1,monthly issuance
1493,41,monthly issuance
374,38,monthly issuance
2925,1,monthly issuance
866,9,monthly issuance
1628,60,monthly issuance
2379,44,monthly issuance
1979,26,monthly issuance
346,37,monthly issuance
1338,74,monthly issuance
1909,14,monthly issuance
2099,3,weekly issuance
3760,44,monthly issuance
5270,44,monthly issuance
1699,53,monthly issuance
3909,1,monthly issuance
2926,50,monthly issuance
1731,33,monthly issuance
11265,15,monthly issuance
2519,4,monthly issuance
10364,55,monthly issuance
1481,15,monthly issuance
401,32,monthly issuance
4034,1,monthly issuance
2330,54,monthly issuance
1806,40,monthly issuance
3834,54,monthly issuance
1222,66,monthly issuance
212,27,weekly issuance
456,49,monthly issuance
459,47,monthly issuance
772,45,monthly issuance
1019,52,monthly issuance
11295,74,monthly issuance
2970,60,monthly issuance
2676,73,monthly issuance
1536,41,weekly issuance
1179,74,monthly issuance
280,25,monthly issuance
2425,41,monthly issuance
9307,68,monthly issuance
4055,23,monthly issuance
5065,66,monthly issuance
3704,75,monthly issuance
477,1,monthly issuance
5891,54,monthly issuance
1000,77,monthly issuance
1750,1,monthly issuance
2023,68,monthly issuance
6473,12,monthly issuance
1649,46,monthly issuance
2670,13,monthly issuance
1127,27,monthly issuance
163,30,monthly issuance
2566,48,monthly issuance
9,70,monthly issuance
1144,59,monthly issuance
2902,32,monthly issuance
4296,63,monthly issuance
443,64,monthly issuance
3693,61,monthly issuance
2070,72,monthly issuance
1843,12,monthly issuance
2714,1,monthly issuance
4078,40,monthly issuance
1675,36,monthly issuance
5868,44,monthly issuance
1805,1,monthly issuance
2434,17,monthly issuance
3007,16,monthly issuance
2574,68,monthly issuance
862,64,weekly issuance
1132,1,weekly issuance
4484,54,monthly issuance
943,1,monthly issuance
3514,7,monthly issuance
3983,67,monthly issuance
9265,1,monthly issuance
465,32,monthly issuance
982,54,monthly issuance
411,70,monthly issuance
890,14,monthly issuance
627,63,monthly issuance
2429,61,monthly issuance
3960,64,monthly issuance
2256,48,monthly issuance
8051,1,weekly issuance
