client_id,birth_number,client_district_id,gender
1,701213,18,Female
2,450204,1,Male
3,401009,1,Female
4,561201,5,Male
5,600703,5,Female
6,190922,12,Male
7,290125,15,Male
8,380221,51,Female
9,351016,60,Male
10,430501,57,Male
11,500822,57,Female
12,810220,40,Male
13,740529,54,Female
14,420622,76,Female
15,180828,21,Female
16,190225,21,Male
17,341013,76,Male
18,310405,76,Female
19,421228,47,Male
20,790104,46,Male
21,521029,12,Female
22,691011,1,Female
23,730529,1,Male
24,390729,43,Female
25,390423,21,Female
26,690420,74,Female
27,660326,54,Female
28,450929,1,Male
29,510911,30,Female
30,571009,74,Female
31,620209,68,Male
32,800728,52,Male
33,481204,73,Female
36,780717,7,Female
37,700810,7,Male
38,730723,36,Female
39,680125,68,Male
40,570122,5,Female
41,680827,22,Male
42,350817,68,Male
43,201028,75,Male
44,770111,38,Female
45,520826,20,Male
46,400130,19,Female
47,340714,76,Male
48,400209,16,Male
49,590511,72,Female
50,780730,39,Female
51,791202,36,Female
52,241212,32,Male
53,770505,64,Male
55,480918,45,Female
56,600331,21,Male
57,611217,21,Female
58,270429,1,Female
59,570218,1,Male
60,800219,67,Male
61,480806,16,Female
62,321208,77,Male
63,590604,4,Male
64,260422,20,Male
65,430527,50,Female
66,511110,1,Female
67,321111,29,Female
68,461214,43,Male
70,251222,70,Male
71,270206,70,Female
72,230113,47,Male
73,240220,22,Male
74,250726,22,Female
75,770919,64,Female
76,671001,36,Female
77,560218,1,Female
78,440613,16,Female
79,690310,37,Female
80,790225,64,Female
81,760429,8,Male
82,791225,8,Female
83,781225,1,Female
84,790505,1,Male
85,610827,1,Male
86,690720,1,Female
87,461117,72,Female
89,510505,1,Female
90,750817,52,Male
91,400807,63,Male
92,660612,74,Female
93,250216,3,Male
94,470909,43,Male
95,520803,43,Female
96,720229,74,Male
97,651128,26,Male
98,730504,33,Female
99,730126,33,Male
100,420811,44,Female
101,430123,68,Male
102,580910,74,Female
103,550711,74,Male
105,800526,31,Male
106,681230,68,Female
107,720623,1,Male
108,630913,17,Male
110,670413,2,Female
112,350125,1,Male
113,400815,1,Female
114,690624,74,Female
115,691224,74,Male
116,420128,74,Male
117,360920,74,Female
118,220719,55,Male
119,220228,55,Female
120,760510,1,Male
121,781029,41,Female
122,631113,35,Female
123,690212,11,Male
124,670921,44,Male
125,361031,37,Male
126,290927,37,Female
127,501227,21,Female
128,730404,63,Female
129,470531,64,Female
130,420214,53,Male
131,770131,53,Female
132,530126,36,Male
134,320118,6,Male
135,380910,6,Female
