status,loan_id,account_id,loan_amount,loan_duration,loan_payments,account_district_id,account_frequency,disp_id,client_id,has_disponent,client_district_id,gender,last_balance,mean_balance,min_balance,monthly_diff,code,region,no. of municipalities with inhabitants < 499,no. of municipalities with inhabitants 500-1999,no. of municipalities with inhabitants > 2000,no. of cities ,ratio of urban inhabitants,average salary,ratio enterpreneurs,unemploymant rate growth,crime rate growth,has_card,age_on_loan_request,age_on_loan_request_disc,loan_payments_disc,monthly_diff_disc
-1,5314,1787,96396,12,8033,30,weekly issuance,2166,2166,False,30,Female,20100.0,12250.0,1100.0,6700,30,west Bohemia,15,13,10,10,0.818,9650,0.1,0.29,-0.0019090410496561,False,46,40-49,4.0,4.0
1,5316,1801,165960,36,4610,46,monthly issuance,2181,2181,False,46,Male,52208.9,52083.859459459454,700.0,14733,46,east Bohemia,48,20,10,10,0.735,8369,0.117,0.52,-0.0020938877995546,False,25,21-29,2.0,4.0
1,6863,9188,127080,60,2118,45,monthly issuance,11006,11314,False,45,Male,20272.8,30060.954166666663,800.0,-6859,45,east Bohemia,85,19,7,5,0.535,8390,0.132,0.6100000000000003,0.0005390351271224,False,57,50-59,0.0,2.0
1,5325,1843,105804,36,2939,12,monthly issuance,2235,2235,False,14,Female,34292.7,41297.48,1000.0,-11054,14,south Bohemia,69,27,11,9,0.748,10045,0.135,0.29,-0.0017390227705052,False,53,50-59,1.0,2.0
1,7240,11013,274740,60,4579,1,weekly issuance,13231,13539,False,63,Male,41142.9,57188.21111111111,600.0,-30531,63,south Moravia,38,36,6,5,0.505,8288,0.11,0.7299999999999995,-0.0011790135586559,False,15,0-19,2.0,1.0
1,6687,8261,87840,24,3660,13,monthly issuance,9892,10200,True,13,Female,43847.8,46318.55294117647,500.0,-13741,13,central Bohemia,61,22,2,2,0.413,8598,0.123,0.4899999999999997,0.0051556907327386,False,14,0-19,1.0,2.0
1,7284,11265,52788,12,4399,15,monthly issuance,13537,13845,False,15,Male,21029.0,22198.17906976744,1000.0,4185,15,south Bohemia,22,16,8,5,0.519,9045,0.124,0.4700000000000002,0.0005782706306551,False,21,21-29,2.0,3.0
-1,6111,5428,174744,24,7281,24,monthly issuance,6551,6551,False,24,Female,58140.9,37485.45625,1000.0,9690,24,west Bohemia,25,21,8,8,0.8,8991,0.128,0.6199999999999999,0.0006117305449295,False,45,40-49,3.0,4.0
1,7235,10973,154416,48,3217,18,weekly issuance,13182,13490,False,18,Female,53402.7,46715.8,8897.0,8900,18,south Bohemia,60,13,3,4,0.653,8968,0.131,0.52,0.0024045601776545,False,24,21-29,1.0,4.0
1,5997,4894,117024,24,4876,14,monthly issuance,5911,5911,False,14,Male,53193.5,44131.16923076923,800.0,-12765,14,south Bohemia,69,27,11,9,0.748,10045,0.135,0.29,-0.0017390227705052,False,58,50-59,2.0,2.0
1,7121,10364,21924,36,609,55,monthly issuance,12446,12754,True,55,Male,49083.3,34272.21333333333,1100.0,8039,55,south Moravia,49,70,18,9,0.3389999999999999,8743,0.111,0.5500000000000003,0.0014964149717909,False,33,30-39,0.0,4.0
1,6077,5270,79608,24,3317,44,monthly issuance,6367,6367,False,44,Male,103745.7,69954.57169811321,800.0,-37351,44,east Bohemia,77,26,9,7,0.53,8254,0.097,0.9699999999999998,0.001505596272939,False,24,21-29,1.0,0.0
-1,6228,6034,464520,60,7742,6,weekly issuance,7291,7291,False,77,Female,101797.3,51760.01617647058,200.0,9707,77,north Moravia,8,35,15,4,0.535,8909,0.113,1.5499999999999998,0.0008751556767309,False,53,50-59,4.0,4.0
1,6356,6701,95400,36,2650,49,weekly issuance,8091,8091,False,5,Male,27667.0,41562.32340425532,200.0,3074,5,central Bohemia,65,30,5,6,0.514,9307,0.118,0.5799999999999996,0.0044344042838018,False,23,21-29,1.0,3.0
1,5523,2705,93888,36,2608,63,issuance after transaction,3264,3264,False,63,Female,34716.3,37510.49473684211,600.0,-8705,63,south Moravia,38,36,6,5,0.505,8288,0.11,0.7299999999999995,-0.0011790135586559,False,43,40-49,1.0,2.0
1,6456,7123,47016,12,3918,64,issuance after transaction,8598,8598,False,46,Female,58773.2,60382.08571428573,200.0,14637,46,east Bohemia,48,20,10,10,0.735,8369,0.117,0.52,-0.0020938877995546,False,36,30-39,1.0,4.0
1,7104,10320,259740,60,4329,68,monthly issuance,12387,12695,False,68,Male,67219.5,45198.15294117647,800.0,-12643,68,north Moravia,15,40,20,6,0.5720000000000001,9893,0.096,0.6299999999999999,0.0011536041389918,False,15,0-19,2.0,2.0
1,6820,9034,38148,12,3179,1,monthly issuance,10818,11126,False,1,Female,47725.8,37462.093103448286,900.0,-11742,1,Prague,0,0,1,1,1.0,12541,0.167,0.14,0.0111456629428699,False,29,21-29,1.0,2.0
1,6876,9236,86616,12,7218,11,monthly issuance,11064,11372,False,11,Male,37253.1,25714.046666666665,800.0,9313,11,central Bohemia,35,36,9,7,0.365,9622,0.154,0.1399999999999999,0.0007139363010166,False,32,30-39,3.0,4.0
-1,7097,10266,75624,24,3151,54,monthly issuance,12317,12625,False,54,Male,41954.8,50009.90869565218,400.0,5993,54,south Moravia,0,0,1,1,1.0,9897,0.14,0.3599999999999999,-6.450447661067678e-05,False,35,30-39,1.0,3.0
1,4959,2,80952,24,3373,1,monthly issuance,2,2,True,1,Male,27855.2,32590.624074074065,1100.0,-14402,1,Prague,0,0,1,1,1.0,12541,0.167,0.14,0.0111456629428699,False,49,40-49,1.0,2.0
1,6499,7401,80952,24,3373,1,monthly issuance,8865,9173,True,1,Male,28763.7,33312.53888888889,1100.0,-14319,1,Prague,0,0,1,1,1.0,12541,0.167,0.14,0.0111456629428699,False,49,40-49,1.0,2.0
1,5479,2486,24516,12,2043,1,monthly issuance,3001,3001,False,1,Male,78670.8,55582.22602739726,200.0,7150,1,Prague,0,0,1,1,1.0,12541,0.167,0.14,0.0111456629428699,False,35,30-39,0.0,4.0
1,5170,1071,253200,60,4220,68,weekly issuance,1286,1286,False,52,Female,81150.6,47302.54634146342,800.0,9016,52,east Bohemia,59,41,11,10,0.619,8363,0.108,0.9700000000000002,0.0016905015394354,False,44,40-49,2.0,4.0
1,6721,8475,21072,24,878,4,monthly issuance,10151,10459,False,17,Female,30867.0,21575.68666666666,1100.0,7716,17,south Bohemia,99,15,6,7,0.614,8114,0.119,0.2400000000000002,0.0024033917528557,False,29,21-29,0.0,4.0
