status,loan_id,account_id,loan_amount,loan_duration,loan_payments,account_district_id,account_frequency,disp_id,client_id,has_disponent,client_district_id,gender,last_balance,mean_balance,min_balance,monthly_diff,code,region,no. of municipalities with inhabitants < 499,no. of municipalities with inhabitants 500-1999,no. of municipalities with inhabitants > 2000,no. of cities ,ratio of urban inhabitants,average salary,ratio enterpreneurs,unemploymant rate growth,crime rate growth,has_card,age_on_loan_request,age_on_loan_request_disc
,5895,4473,93960,60,1566,45,monthly issuance,5395,5395,False,45,Male,49548.5,54520.20224719101,800.0,8970,45,east Bohemia,85,19,7,5,0.535,8390,0.132,0.6100000000000003,0.0005390351271224,False,35,30-39
,7122,10365,260640,36,7240,22,monthly issuance,12448,12756,False,22,Female,11565.4,31518.18205128205,-718.6,4830,22,west Bohemia,65,16,5,6,0.524,8620,0.1,0.1499999999999999,0.0004794520547945,False,48,40-49
,6173,5724,232560,48,4845,14,issuance after transaction,6922,6922,False,14,Female,45754.0,40175.6125,200.0,-24751,14,south Bohemia,69,27,11,9,0.748,10045,0.135,0.29,-0.0017390227705052,False,58,50-59
,6142,5591,221880,60,3698,9,monthly issuance,6749,6749,True,9,Female,41785.4,44440.91267605633,1000.0,-18389,9,central Bohemia,61,23,6,6,0.5529999999999999,8899,0.149,0.5800000000000001,-0.0061467348544453,False,53,50-59
,5358,2018,38520,12,3210,42,monthly issuance,2451,2451,False,42,Male,16514.3,20231.313157894736,900.0,3191,42,east Bohemia,87,25,7,7,0.591,8388,0.087,0.5299999999999998,0.0001042676759777,False,57,50-59
,6095,5358,68340,60,1139,4,monthly issuance,6469,6469,False,4,Male,60756.7,41735.4201754386,500.0,9201,4,central Bohemia,63,29,8,6,0.674,9753,0.109,0.4100000000000001,0.0043230837997771,False,44,40-49
,6878,9242,23184,12,1932,57,monthly issuance,11073,11381,False,57,Female,42501.4,36729.80172413793,200.0,3863,57,south Moravia,21,37,23,8,0.48,8720,0.116,0.77,-0.0004816182372772,False,18,0-19
,6554,7637,390096,48,8127,46,monthly issuance,9149,9457,True,46,Male,44278.0,44346.15625,900.0,8855,46,east Bohemia,48,20,10,10,0.735,8369,0.117,0.52,-0.0020938877995546,False,18,0-19
,6793,8931,186300,60,3105,63,weekly issuance,10696,11004,False,63,Male,26264.0,62765.8655462185,200.0,7588,63,south Moravia,38,36,6,5,0.505,8288,0.11,0.7299999999999995,-0.0011790135586559,False,49,40-49
,7286,11271,67320,36,1870,5,monthly issuance,13544,13852,False,5,Male,19757.5,26491.78018018018,200.0,-4523,5,central Bohemia,65,30,5,6,0.514,9307,0.118,0.5799999999999996,0.0044344042838018,False,25,21-29
,6076,5269,117420,60,1957,49,monthly issuance,6366,6366,False,49,Male,24539.8,40841.79534883721,500.0,5806,49,east Bohemia,31,28,6,9,0.608,8208,0.155,0.3699999999999999,0.006117460527185,False,31,30-39
,5134,825,53076,12,4423,19,monthly issuance,992,992,False,19,Male,21080.3,33129.40307692308,500.0,6952,19,south Bohemia,50,11,4,4,0.527,8402,0.12,0.8500000000000001,0.0019444660496227,False,49,40-49
,5419,2246,415800,60,6930,1,monthly issuance,2720,2720,False,1,Female,13480.4,44265.27297297297,700.0,1348,1,Prague,0,0,1,1,1.0,12541,0.167,0.14,0.0111456629428699,False,47,40-49
,6255,6158,247920,48,5165,67,monthly issuance,7435,7435,False,67,Female,23990.1,23594.146666666664,200.0,2665,67,north Moravia,38,25,8,6,0.631,8110,0.109,0.7800000000000002,-0.0015558111905255,False,40,40-49
,5656,3353,146064,24,6086,74,monthly issuance,4055,4055,False,74,Female,45020.6,44355.04090909091,200.0,7572,74,north Moravia,0,0,1,1,1.0,10673,0.1,0.6900000000000004,-0.0013431315033809,False,44,40-49
,6934,9494,116832,12,9736,21,monthly issuance,11378,11686,True,21,Female,20739.0,23391.68913043478,400.0,4941,21,south Bohemia,87,16,8,7,0.67,9104,0.123,0.5599999999999998,0.0005321876784038,False,48,40-49
,6028,5072,317520,60,5292,6,monthly issuance,6122,6122,False,6,Female,38678.7,56757.3095890411,1100.0,9362,6,central Bohemia,60,23,6,4,0.515,8546,0.126,1.0699999999999994,0.0061567666713697,False,29,21-29
,6490,7262,73260,60,1221,70,monthly issuance,8764,8764,False,70,Female,28038.0,33927.08571428571,900.0,4989,70,north Moravia,0,2,13,7,0.899,10177,0.081,1.12,0.0008059231850084,False,57,50-59
,6415,6950,475680,48,9910,36,monthly issuance,8392,8392,True,36,Female,46505.3,40812.49166666666,700.0,11626,36,north Bohemia,29,19,9,9,0.852,9198,0.131,0.9500000000000002,0.0021050389369553,False,31,30-39
,7087,10215,44304,24,1846,38,monthly issuance,12253,12561,False,38,Male,46446.1,42830.995238095245,300.0,6553,38,north Bohemia,41,23,6,4,0.598,8965,0.104,1.1500000000000004,0.0019685039370078,False,31,30-39
,5420,2247,72504,24,3021,24,monthly issuance,2721,2721,False,24,Female,17104.4,45374.64242424244,600.0,4538,24,west Bohemia,25,21,8,8,0.8,8991,0.128,0.6199999999999999,0.0006117305449295,False,47,40-49
,5977,4803,59136,48,1232,26,monthly issuance,5801,5801,False,26,Female,22740.4,23023.65909090909,6620.0,2526,26,west Bohemia,0,0,1,1,1.0,10787,0.131,0.4499999999999997,0.0012907086577216,False,17,0-19
,6824,9052,71976,24,2999,43,issuance after transaction,10841,11149,False,43,Male,85375.5,39870.4112781955,-8245.1,4743,43,east Bohemia,73,21,7,6,0.763,9425,0.125,0.78,-0.0011986110939488,False,32,30-39
,5207,1244,35904,48,748,68,monthly issuance,1501,1501,False,68,Male,17662.3,22981.05593220339,900.0,3255,68,north Moravia,15,40,20,6,0.5720000000000001,9893,0.096,0.6299999999999999,0.0011536041389918,False,51,50-59
,7115,10351,88704,48,1848,23,monthly issuance,12430,12738,True,23,Female,13431.1,18675.060305343515,800.0,4218,23,west Bohemia,21,11,7,9,0.855,8624,0.102,0.8700000000000001,0.0036490923025886,False,36,30-39
,7250,11069,119136,48,2482,37,monthly issuance,13300,13608,False,37,Female,45721.0,42572.4100840336,1100.0,2176,37,north Bohemia,71,26,8,9,0.623,9065,0.123,0.9299999999999996,0.0001666578951984,False,34,30-39
,6010,4969,150180,60,2503,60,weekly issuance,6001,6001,False,60,Male,79230.1,50892.0,200.0,12505,60,south Moravia,49,41,5,4,0.519,8441,0.115,1.0300000000000002,0.0033712028777238,False,60,60-69
,6088,5317,90180,36,2505,28,monthly issuance,6422,6422,False,28,Male,36566.0,31516.346153846152,200.0,-6213,28,west Bohemia,66,26,10,8,0.369,8594,0.112,0.3899999999999997,-0.0007581919190526,False,36,30-39
,5682,3455,67464,12,5622,34,monthly issuance,4177,4177,False,34,Male,59310.8,46016.19824561403,600.0,-31603,34,north Bohemia,28,11,5,5,0.877,9675,0.1,1.25,-0.0010619949535277,False,61,60-69
,7201,10807,67464,12,5622,34,monthly issuance,12977,13285,False,34,Male,64497.2,48557.38070175439,600.0,-31171,34,north Bohemia,28,11,5,5,0.877,9675,0.1,1.25,-0.0010619949535277,False,61,60-69
,6938,9504,341280,60,5688,9,monthly issuance,11393,11701,False,9,Male,68367.1,49678.36623376624,700.0,-34850,9,central Bohemia,61,23,6,6,0.5529999999999999,8899,0.149,0.5800000000000001,-0.0061467348544453,True,48,40-49
,6875,9235,83280,48,1735,37,monthly issuance,11063,11371,False,37,Female,41045.9,39962.46618705036,700.0,1954,37,north Bohemia,71,26,8,9,0.623,9065,0.123,0.9299999999999996,0.0001666578951984,False,55,50-59
,5953,4715,97176,24,4049,8,monthly issuance,5684,5684,False,8,Female,91941.4,66376.84999999999,400.0,-32056,8,central Bohemia,95,19,8,8,0.6940000000000001,11277,0.127,0.1899999999999999,-0.0017132913933877,False,42,40-49
,5942,4681,162624,48,3388,70,monthly issuance,5642,5642,False,70,Female,39415.4,37092.94552238806,16399.9,-12482,70,north Moravia,0,2,13,7,0.899,10177,0.081,1.12,0.0008059231850084,False,39,30-39
,5382,2134,22932,36,637,52,monthly issuance,2581,2581,False,52,Female,49849.1,42536.88536585366,300.0,7640,52,east Bohemia,59,41,11,10,0.619,8363,0.108,0.9700000000000002,0.0016905015394354,False,43,40-49
,6377,6792,17184,12,1432,1,monthly issuance,8200,8200,False,1,Female,40773.2,29906.531428571423,400.0,5884,1,Prague,0,0,1,1,1.0,12541,0.167,0.14,0.0111456629428699,False,53,50-59
,5931,4618,66696,24,2779,3,monthly issuance,5565,5565,False,3,Female,12551.9,51945.21627906976,1100.0,1568,3,central Bohemia,55,26,5,5,0.417,8980,0.111,0.26,-0.0001462143768609,False,30,30-39
,5992,4863,76080,12,6340,5,monthly issuance,5873,5873,False,5,Female,70923.6,50621.10493827161,300.0,-26841,5,central Bohemia,65,30,5,6,0.514,9307,0.118,0.5799999999999996,0.0044344042838018,True,18,0-19
,5790,4033,84288,48,1756,57,monthly issuance,4861,4861,False,57,Female,37381.6,29824.125,1000.0,9345,57,south Moravia,21,37,23,8,0.48,8720,0.116,0.77,-0.0004816182372772,False,19,0-19
,6753,8688,67980,12,5665,66,monthly issuance,10406,10714,False,66,Female,55705.9,34806.92142857143,400.0,13926,66,south Moravia,151,41,5,5,0.483,8512,0.102,0.6100000000000003,-0.0011443829868395,False,51,50-59
,6562,7674,94488,24,3937,1,monthly issuance,9197,9505,False,1,Male,70683.9,60311.76666666666,800.0,15480,1,Prague,0,0,1,1,1.0,12541,0.167,0.14,0.0111456629428699,False,39,30-39
,7046,10049,91632,12,7636,17,monthly issuance,12050,12358,True,17,Male,14930.1,17625.444285714293,300.0,3036,17,south Bohemia,99,15,6,7,0.614,8114,0.119,0.2400000000000002,0.0024033917528557,False,54,50-59
,5868,4361,90156,12,7513,69,monthly issuance,5253,5253,True,69,Female,78119.7,77525.11692307693,700.0,-42534,69,north Moravia,4,13,6,3,0.484,8173,0.124,1.0602370158708665,-0.0051739073122651,False,50,50-59
,5784,3967,84600,36,2350,54,monthly issuance,4786,4786,False,54,Male,16915.7,41766.693750000006,900.0,2819,54,south Moravia,0,0,1,1,1.0,9897,0.14,0.3599999999999999,-6.450447661067678e-05,False,59,50-59
,5878,4415,74040,12,6170,73,monthly issuance,5322,5322,False,73,Female,35310.2,44234.82947368421,600.0,8548,73,north Moravia,17,49,14,7,0.564,8746,0.09,0.4100000000000001,0.0004285078587242,False,41,40-49
,5110,675,102240,60,1704,58,monthly issuance,810,810,True,58,Female,34768.4,29946.995238095245,900.0,6506,58,south Moravia,98,16,7,4,0.636,8757,0.096,0.5700000000000003,0.0023725770400498,False,52,50-59
,5210,1252,148140,36,4115,13,weekly issuance,1511,1511,False,13,Female,26252.2,40688.34830508475,1000.0,-24027,13,central Bohemia,61,22,2,2,0.413,8598,0.123,0.4899999999999997,0.0051556907327386,False,35,30-39
,7230,10954,18720,60,312,25,monthly issuance,13160,13468,True,25,Male,44322.7,40748.34523809524,300.0,4923,25,west Bohemia,60,33,5,10,0.617,8554,0.113,0.2099999999999999,0.004461619928569,False,36,30-39
,5005,176,27456,12,2288,71,weekly issuance,215,215,False,71,Male,36280.9,48780.096,800.0,7470,71,north Moravia,5,35,15,10,0.6970000000000001,8678,0.102,-0.3599999999999994,-0.0023879375042641,False,30,30-39
,6871,9225,164256,48,3422,11,monthly issuance,11051,11359,True,11,Male,23421.1,42341.63775510205,600.0,1463,11,central Bohemia,35,36,9,7,0.365,9622,0.154,0.1399999999999999,0.0007139363010166,False,25,21-29
,5363,2051,293880,60,4898,64,weekly issuance,2489,2489,False,64,Female,-204.8,53227.14444444444,-2804.8,-12,64,south Moravia,29,41,12,10,0.747,9624,0.145,0.71,-0.001111116748436,False,22,21-29
,7253,11079,98304,12,8192,16,monthly issuance,13312,13620,False,16,Male,44345.5,66405.07079646018,300.0,-50781,16,south Bohemia,74,21,11,8,0.569,8427,0.107,0.4199999999999999,0.0004151983903077,False,27,21-29
,6055,5181,399120,60,6652,75,monthly issuance,6257,6257,False,75,Female,18581.6,42435.31166666667,300.0,1238,75,north Moravia,67,30,6,5,0.6459999999999999,8819,0.099,0.2800000000000002,0.003202156021792,False,55,50-59
,5072,472,196800,24,8200,8,monthly issuance,568,568,False,8,Female,38166.1,58669.5043478261,300.0,-40234,8,central Bohemia,95,19,8,8,0.6940000000000001,11277,0.127,0.1899999999999999,-0.0017132913933877,False,37,30-39
,6913,9377,99936,24,4164,1,monthly issuance,11237,11545,False,1,Female,91178.5,55851.80263157895,400.0,9476,1,Prague,0,0,1,1,1.0,12541,0.167,0.14,0.0111456629428699,False,31,30-39
,6386,6856,124344,36,3454,43,monthly issuance,8276,8276,False,43,Female,66449.9,25654.37837837838,321.0,11515,43,east Bohemia,73,21,7,6,0.763,9425,0.125,0.78,-0.0011986110939488,False,18,0-19
,5634,3229,39024,12,3252,64,monthly issuance,3906,3906,False,64,Male,35436.7,60289.9544117647,300.0,13000,64,south Moravia,29,41,12,10,0.747,9624,0.145,0.71,-0.001111116748436,False,60,60-69
,5758,3859,307200,60,5120,53,monthly issuance,4652,4652,False,53,Male,10043.6,44484.07500000001,200.0,772,53,south Moravia,88,33,8,7,0.509,8240,0.099,1.0300000000000002,0.0004911454809982,False,35,30-39
,6819,9031,50112,24,2088,47,monthly issuance,10815,11123,False,47,Male,68616.8,46214.125,900.0,17154,47,east Bohemia,83,26,6,6,0.728,9538,0.111,0.3,-0.0041148972813384,False,49,40-49
,7088,10233,239160,60,3986,27,monthly issuance,12278,12586,False,27,Male,28610.8,37233.14339622641,500.0,-18203,27,west Bohemia,71,19,10,7,0.4379999999999999,8561,0.11,0.64,0.0014562096941959,False,50,50-59
,5039,314,66840,24,2785,15,issuance after transaction,383,383,True,15,Female,22674.3,38819.320212765946,700.0,-26067,15,south Bohemia,22,16,8,5,0.519,9045,0.124,0.4700000000000002,0.0005782706306551,False,58,50-59
,5532,2754,335280,48,6985,57,weekly issuance,3326,3326,False,57,Female,29880.9,43629.43608247423,500.0,-38103,57,south Moravia,21,37,23,8,0.48,8720,0.116,0.77,-0.0004816182372772,False,44,40-49
,6037,5118,53232,48,1109,72,monthly issuance,6175,6175,False,72,Male,35612.5,30896.00266666667,1100.0,4541,72,north Moravia,32,50,11,4,0.626,8994,0.11,0.9900000000000002,-0.0020519896339144,False,33,30-39
,6322,6510,76992,24,3208,74,monthly issuance,7862,7862,False,74,Male,52478.9,61992.3,900.0,10495,74,north Moravia,0,0,1,1,1.0,10673,0.1,0.6900000000000004,-0.0013431315033809,False,32,30-39
,6887,9263,39576,12,3298,68,monthly issuance,11097,11405,True,68,Female,29753.3,30719.746666666662,700.0,-14111,68,north Moravia,15,40,20,6,0.5720000000000001,9893,0.096,0.6299999999999999,0.0011536041389918,False,33,30-39
,6660,8094,220428,36,6123,67,monthly issuance,9689,9997,False,67,Male,48503.1,60165.795,600.0,-33148,67,north Moravia,38,25,8,6,0.631,8110,0.109,0.7800000000000002,-0.0015558111905255,False,35,30-39
,5451,2350,159744,48,3328,18,monthly issuance,2841,2841,False,18,Female,53598.4,56388.8107142857,600.0,6001,18,south Bohemia,60,13,3,4,0.653,8968,0.131,0.52,0.0024045601776545,False,24,21-29
,6014,4999,165168,36,4588,1,monthly issuance,6039,6039,True,1,Female,25659.5,35478.66185567011,300.0,-16745,1,Prague,0,0,1,1,1.0,12541,0.167,0.14,0.0111456629428699,False,39,30-39
,5556,2872,268320,60,4472,1,monthly issuance,3471,3471,False,1,Female,12652.9,24411.29423076923,200.0,5905,1,Prague,0,0,1,1,1.0,12541,0.167,0.14,0.0111456629428699,False,45,40-49
,6346,6649,100260,60,1671,1,monthly issuance,8030,8030,False,1,Male,77813.6,40047.08387096776,1000.0,3383,1,Prague,0,0,1,1,1.0,12541,0.167,0.14,0.0111456629428699,False,30,30-39
,5850,4293,164196,36,4561,64,issuance after transaction,5171,5171,False,64,Female,82971.3,49558.68571428572,500.0,6085,64,south Moravia,29,41,12,10,0.747,9624,0.145,0.71,-0.001111116748436,False,41,40-49
,5940,4660,106944,24,4456,63,monthly issuance,5618,5618,False,63,Female,54045.6,57324.07222222223,800.0,-20159,63,south Moravia,38,36,6,5,0.505,8288,0.11,0.7299999999999995,-0.0011790135586559,False,44,40-49
,7119,10361,86880,12,7240,21,monthly issuance,12442,12750,False,21,Female,34575.3,56531.81724137931,500.0,-38748,21,south Bohemia,87,16,8,7,0.67,9104,0.123,0.5599999999999998,0.0005321876784038,True,57,50-59
,5253,1447,100080,48,2085,65,monthly issuance,1755,1755,False,65,Female,29942.7,22604.34,300.0,-1895,65,south Moravia,101,41,5,4,0.437,8403,0.105,-0.0200000000000004,0.0049124343257443,False,32,30-39
,6851,9138,272220,60,4537,26,monthly issuance,10942,11250,False,26,Female,1580.3,36907.373015873,-625.1,6790,26,west Bohemia,0,0,1,1,1.0,10787,0.131,0.4499999999999997,0.0012907086577216,False,51,50-59
,6695,8320,309660,60,5161,51,monthly issuance,9965,10273,True,51,Female,44736.8,40151.71176470589,1100.0,-15811,51,east Bohemia,37,28,10,11,0.705,8541,0.131,0.4600000000000004,0.0028126973193272,False,39,30-39
,6908,9353,188616,24,7859,59,monthly issuance,11208,11516,True,59,Male,57226.7,45805.50000000001,900.0,4628,59,south Moravia,41,29,9,6,0.621,8444,0.106,0.2299999999999999,-0.0026637029144583,False,59,50-59
