status,loan_id,account_id,loan_amount,loan_duration,loan_payments,account_district_id,disp_id,client_id,has_disponent,client_district_id,last_balance,mean_balance,min_balance,monthly_diff,code,region,no. of municipalities with inhabitants < 499,no. of municipalities with inhabitants 500-1999,no. of municipalities with inhabitants > 2000,no. of cities ,ratio of urban inhabitants,average salary,ratio enterpreneurs,unemploymant rate growth,crime rate growth,age_on_loan_request,age_on_loan_request_disc,account_frequency_issuance after transaction,account_frequency_monthly issuance,account_frequency_weekly issuance,gender_Female,gender_Male
-1,5314,1787,96396,12,8033,30,2166,2166,False,30,20100.0,12250.0,1100.0,6700,30,7.0,15,13,10,10,0.818,9650,0.1,0.29,-0.0019090410496561,46,3.0,0.0,0.0,1.0,1.0,0.0
1,5316,1801,165960,36,4610,46,2181,2181,False,46,52208.9,52083.859459459454,700.0,14733,46,2.0,48,20,10,10,0.735,8369,0.117,0.52,-0.0020938877995546,25,1.0,0.0,1.0,0.0,0.0,1.0
1,6863,9188,127080,60,2118,45,11006,11314,False,45,20272.8,30060.954166666663,800.0,-6859,45,2.0,85,19,7,5,0.535,8390,0.132,0.6100000000000003,0.0005390351271224,57,4.0,0.0,1.0,0.0,0.0,1.0
1,5325,1843,105804,36,2939,12,2235,2235,False,14,34292.7,41297.48,1000.0,-11054,14,5.0,69,27,11,9,0.748,10045,0.135,0.29,-0.0017390227705052,53,4.0,0.0,1.0,0.0,1.0,0.0
1,7240,11013,274740,60,4579,1,13231,13539,False,63,41142.9,57188.21111111111,600.0,-30531,63,6.0,38,36,6,5,0.505,8288,0.11,0.7299999999999995,-0.0011790135586559,15,0.0,0.0,0.0,1.0,0.0,1.0
1,6687,8261,87840,24,3660,13,9892,10200,True,13,43847.8,46318.55294117647,500.0,-13741,13,1.0,61,22,2,2,0.413,8598,0.123,0.4899999999999997,0.0051556907327386,14,0.0,0.0,1.0,0.0,1.0,0.0
1,7284,11265,52788,12,4399,15,13537,13845,False,15,21029.0,22198.17906976744,1000.0,4185,15,5.0,22,16,8,5,0.519,9045,0.124,0.4700000000000002,0.0005782706306551,21,1.0,0.0,1.0,0.0,0.0,1.0
-1,6111,5428,174744,24,7281,24,6551,6551,False,24,58140.9,37485.45625,1000.0,9690,24,7.0,25,21,8,8,0.8,8991,0.128,0.6199999999999999,0.0006117305449295,45,3.0,0.0,1.0,0.0,1.0,0.0
1,7235,10973,154416,48,3217,18,13182,13490,False,18,53402.7,46715.8,8897.0,8900,18,5.0,60,13,3,4,0.653,8968,0.131,0.52,0.0024045601776545,24,1.0,0.0,0.0,1.0,1.0,0.0
1,5997,4894,117024,24,4876,14,5911,5911,False,14,53193.5,44131.16923076923,800.0,-12765,14,5.0,69,27,11,9,0.748,10045,0.135,0.29,-0.0017390227705052,58,4.0,0.0,1.0,0.0,0.0,1.0
1,7121,10364,21924,36,609,55,12446,12754,True,55,49083.3,34272.21333333333,1100.0,8039,55,6.0,49,70,18,9,0.3389999999999999,8743,0.111,0.5500000000000003,0.0014964149717909,33,2.0,0.0,1.0,0.0,0.0,1.0
1,6077,5270,79608,24,3317,44,6367,6367,False,44,103745.7,69954.57169811321,800.0,-37351,44,2.0,77,26,9,7,0.53,8254,0.097,0.9699999999999998,0.001505596272939,24,1.0,0.0,1.0,0.0,0.0,1.0
-1,6228,6034,464520,60,7742,6,7291,7291,False,77,101797.3,51760.01617647058,200.0,9707,77,4.0,8,35,15,4,0.535,8909,0.113,1.5499999999999998,0.0008751556767309,53,4.0,0.0,0.0,1.0,1.0,0.0
