code,region,no. of municipalities with inhabitants < 499,no. of municipalities with inhabitants 500-1999,no. of municipalities with inhabitants > 2000,no. of cities ,ratio of urban inhabitants,average salary,ratio enterpreneurs,unemploymant rate growth,crime rate growth
1,Prague,0,0,1,1,1.0,12541,0.167,0.14,0.01114566294286997
2,central Bohemia,80,26,8,5,0.467,8507,0.132,0.18000000000000016,0.005794068673777058
3,central Bohemia,55,26,5,5,0.41700000000000004,8980,0.111,0.26,-0.00014621437686091024
4,central Bohemia,63,29,8,6,0.674,9753,0.109,0.41000000000000014,0.004323083799777174
5,central Bohemia,65,30,5,6,0.514,9307,0.118,0.5799999999999996,0.004434404283801874
6,central Bohemia,60,23,6,4,0.515,8546,0.126,1.0699999999999994,0.0061567666713697525
7,central Bohemia,38,28,4,6,0.634,9920,0.13,0.6100000000000003,0.005880179466877804
8,central Bohemia,95,19,8,8,0.6940000000000001,11277,0.127,0.18999999999999995,-0.001713291393387766
9,central Bohemia,61,23,6,6,0.5529999999999999,8899,0.149,0.5800000000000001,-0.006146734854445318
10,central Bohemia,55,29,7,5,0.467,10124,0.141,-0.020000000000000018,0.005494982841753182
11,central Bohemia,35,36,9,7,0.365,9622,0.154,0.13999999999999996,0.0007139363010166982
12,central Bohemia,84,29,7,6,0.58,8754,0.137,0.47999999999999954,0.0005933067581347919
13,central Bohemia,61,22,2,2,0.413,8598,0.123,0.48999999999999977,0.005155690732738636
14,south Bohemia,69,27,11,9,0.748,10045,0.135,0.29000000000000004,-0.0017390227705052733
15,south Bohemia,22,16,8,5,0.519,9045,0.124,0.4700000000000002,0.0005782706306551466
16,south Bohemia,74,21,11,8,0.569,8427,0.107,0.41999999999999993,0.00041519839030777913
17,south Bohemia,99,15,6,7,0.614,8114,0.119,0.2400000000000002,0.0024033917528557157
18,south Bohemia,60,13,3,4,0.653,8968,0.131,0.52,0.002404560177654564
19,south Bohemia,50,11,4,4,0.527,8402,0.12,0.8500000000000001,0.0019444660496227735
20,south Bohemia,94,14,4,4,0.584,8547,0.12,0.9900000000000002,-0.00029725674489709255
21,south Bohemia,87,16,8,7,0.67,9104,0.123,0.5599999999999998,0.000532187678403824
22,west Bohemia,65,16,5,6,0.524,8620,0.1,0.1499999999999999,0.00047945205479452054
23,west Bohemia,21,11,7,9,0.855,8624,0.102,0.8700000000000001,0.003649092302588682
24,west Bohemia,25,21,8,8,0.8,8991,0.128,0.6199999999999999,0.0006117305449295695
25,west Bohemia,60,33,5,10,0.617,8554,0.113,0.20999999999999996,0.004461619928569014
26,west Bohemia,0,0,1,1,1.0,10787,0.131,0.44999999999999973,0.0012907086577216645
27,west Bohemia,71,19,10,7,0.43799999999999994,8561,0.11,0.64,0.0014562096941959641
28,west Bohemia,66,26,10,8,0.369,8594,0.112,0.3899999999999997,-0.0007581919190526737
29,west Bohemia,52,10,6,6,0.556,8843,0.113,0.7800000000000002,0.0015312595703723148
30,west Bohemia,15,13,10,10,0.818,9650,0.1,0.29000000000000004,-0.0019090410496561618
31,west Bohemia,34,12,4,4,0.5920000000000001,8930,0.108,0.6800000000000002,0.0024165416171340595
32,north Bohemia,32,19,9,10,0.81,9272,0.118,0.4200000000000004,0.0015705610234346742
33,north Bohemia,24,17,10,11,0.847,8705,0.116,1.8600000000000003,0.001562301441951905
34,north Bohemia,28,11,5,5,0.877,9675,0.1,1.25,-0.0010619949535277395
35,north Bohemia,10,18,6,7,0.805,8867,0.13,0.18999999999999995,0.0026586157173756307
36,north Bohemia,29,19,9,9,0.852,9198,0.131,0.9500000000000002,0.0021050389369553367
37,north Bohemia,71,26,8,9,0.623,9065,0.123,0.9299999999999997,0.00016665789519849832
38,north Bohemia,41,23,6,4,0.598,8965,0.104,1.1500000000000004,0.001968503937007874
39,north Bohemia,17,4,5,4,0.899,10446,0.09,2.0600000000000005,-0.0017014888027023646
40,north Bohemia,9,16,9,8,0.853,9317,0.097,0.5800000000000001,-0.0006010084453394527
41,north Bohemia,8,8,6,3,0.856,9832,0.114,1.1600000000000006,-0.008209018120522545
42,east Bohemia,87,25,7,7,0.591,8388,0.087,0.5299999999999998,0.00010426767597777013
43,east Bohemia,73,21,7,6,0.763,9425,0.125,0.78,-0.0011986110939488676
44,east Bohemia,77,26,9,7,0.53,8254,0.097,0.9699999999999998,0.0015055962729390376
45,east Bohemia,85,19,7,5,0.535,8390,0.132,0.6100000000000003,0.0005390351271224508
46,east Bohemia,48,20,10,10,0.735,8369,0.117,0.52,-0.0020938877995546053
47,east Bohemia,83,26,6,6,0.728,9538,0.111,0.30000000000000004,-0.004114897281338418
48,east Bohemia,50,24,9,9,0.59,9060,0.124,0.6599999999999999,0.0007852574251155721
49,east Bohemia,31,28,6,9,0.608,8208,0.155,0.3699999999999999,0.006117460527185043
50,east Bohemia,75,33,5,6,0.52,8187,0.094,0.6200000000000001,0.00010720307185529534
51,east Bohemia,37,28,10,11,0.705,8541,0.131,0.4600000000000004,0.0028126973193272485
52,east Bohemia,59,41,11,10,0.619,8363,0.108,0.9700000000000002,0.0016905015394354445
