loan_id,account_id,loan_amount,loan_duration,loan_payments,status,account_district_id,disp_id,client_id,has_disponent,client_district_id,last_balance,monthly_diff,code,region,no. of municipalities with inhabitants < 499,no. of municipalities with inhabitants 500-1999,no. of municipalities with inhabitants > 2000,no. of cities ,ratio of urban inhabitants,average salary,ratio enterpreneurs,unemploymant rate growth,crime rate growth,age_on_loan_request,age_on_loan_request_disc,account_frequency_issuance after transaction,account_frequency_monthly issuance,account_frequency_weekly issuance,gender_Female,gender_Male
5314,1787,96396,12,8033,-1.0,30,2166,2166,False,30,20100.0,6700,30,7.0,15,13,10,10,0.818,9650,0.1,0.29000000000000004,-0.0019090410496561618,46,3.0,0.0,0.0,1.0,1.0,0.0
5316,1801,165960,36,4610,1.0,46,2181,2181,False,46,52208.9,14733,46,2.0,48,20,10,10,0.735,8369,0.117,0.52,-0.0020938877995546053,25,1.0,0.0,1.0,0.0,0.0,1.0
6863,9188,127080,60,2118,1.0,45,11006,11314,False,45,20272.8,-6859,45,2.0,85,19,7,5,0.535,8390,0.132,0.6100000000000003,0.0005390351271224508,57,4.0,0.0,1.0,0.0,0.0,1.0
5325,1843,105804,36,2939,1.0,12,2235,2235,False,14,34292.7,-11054,14,5.0,69,27,11,9,0.748,10045,0.135,0.29000000000000004,-0.0017390227705052733,53,4.0,0.0,1.0,0.0,1.0,0.0
7240,11013,274740,60,4579,1.0,1,13231,13539,False,63,41142.9,-30531,63,6.0,38,36,6,5,0.505,8288,0.11,0.7299999999999995,-0.0011790135586559245,15,0.0,0.0,0.0,1.0,0.0,1.0
6687,8261,87840,24,3660,1.0,13,9892,10200,True,13,43847.8,-13741,13,1.0,61,22,2,2,0.413,8598,0.123,0.48999999999999977,0.005155690732738636,14,0.0,0.0,1.0,0.0,1.0,0.0
7284,11265,52788,12,4399,1.0,15,13537,13845,False,15,21029.0,4185,15,5.0,22,16,8,5,0.519,9045,0.124,0.4700000000000002,0.0005782706306551466,21,1.0,0.0,1.0,0.0,0.0,1.0
6111,5428,174744,24,7281,-1.0,24,6551,6551,False,24,58140.9,9690,24,7.0,25,21,8,8,0.8,8991,0.128,0.6199999999999999,0.0006117305449295695,45,3.0,0.0,1.0,0.0,1.0,0.0
7235,10973,154416,48,3217,1.0,18,13182,13490,False,18,53402.7,8900,18,5.0,60,13,3,4,0.653,8968,0.131,0.52,0.002404560177654564,24,1.0,0.0,0.0,1.0,1.0,0.0
5997,4894,117024,24,4876,1.0,14,5911,5911,False,14,53193.5,-12765,14,5.0,69,27,11,9,0.748,10045,0.135,0.29000000000000004,-0.0017390227705052733,58,4.0,0.0,1.0,0.0,0.0,1.0
7121,10364,21924,36,609,1.0,55,12446,12754,True,55,49083.3,8039,55,6.0,49,70,18,9,0.33899999999999997,8743,0.111,0.5500000000000003,0.001496414971790986,33,2.0,0.0,1.0,0.0,0.0,1.0
6077,5270,79608,24,3317,1.0,44,6367,6367,False,44,103745.7,-37351,44,2.0,77,26,9,7,0.53,8254,0.097,0.9699999999999998,0.0015055962729390376,24,1.0,0.0,1.0,0.0,0.0,1.0
6228,6034,464520,60,7742,-1.0,6,7291,7291,False,77,101797.3,9707,77,4.0,8,35,15,4,0.535,8909,0.113,1.5499999999999998,0.0008751556767309569,53,4.0,0.0,0.0,1.0,1.0,0.0
6356,6701,95400,36,2650,1.0,49,8091,8091,False,5,27667.0,3074,5,1.0,65,30,5,6,0.514,9307,0.118,0.5799999999999996,0.004434404283801874,23,1.0,0.0,0.0,1.0,0.0,1.0
5523,2705,93888,36,2608,1.0,63,3264,3264,False,63,34716.3,-8705,63,6.0,38,36,6,5,0.505,8288,0.11,0.7299999999999995,-0.0011790135586559245,43,3.0,1.0,0.0,0.0,1.0,0.0
6456,7123,47016,12,3918,1.0,64,8598,8598,False,46,58773.2,14637,46,2.0,48,20,10,10,0.735,8369,0.117,0.52,-0.0020938877995546053,36,2.0,1.0,0.0,0.0,1.0,0.0
7104,10320,259740,60,4329,1.0,68,12387,12695,False,68,67219.5,-12643,68,4.0,15,40,20,6,0.5720000000000001,9893,0.096,0.6299999999999999,0.00115360413899182,15,0.0,0.0,1.0,0.0,0.0,1.0
6820,9034,38148,12,3179,1.0,1,10818,11126,False,1,47725.8,-11742,1,0.0,0,0,1,1,1.0,12541,0.167,0.14,0.01114566294286997,29,1.0,0.0,1.0,0.0,1.0,0.0
6876,9236,86616,12,7218,1.0,11,11064,11372,False,11,37253.1,9313,11,1.0,35,36,9,7,0.365,9622,0.154,0.13999999999999996,0.0007139363010166982,32,2.0,0.0,1.0,0.0,0.0,1.0
7097,10266,75624,24,3151,-1.0,54,12317,12625,False,54,41954.8,5993,54,6.0,0,0,1,1,1.0,9897,0.14,0.3599999999999999,-6.450447661067678e-05,35,2.0,0.0,1.0,0.0,0.0,1.0
4959,2,80952,24,3373,1.0,1,2,2,True,1,27855.2,-14402,1,0.0,0,0,1,1,1.0,12541,0.167,0.14,0.01114566294286997,49,3.0,0.0,1.0,0.0,0.0,1.0
6499,7401,80952,24,3373,1.0,1,8865,9173,True,1,28763.7,-14319,1,0.0,0,0,1,1,1.0,12541,0.167,0.14,0.01114566294286997,49,3.0,0.0,1.0,0.0,0.0,1.0
5479,2486,24516,12,2043,1.0,1,3001,3001,False,1,78670.8,7150,1,0.0,0,0,1,1,1.0,12541,0.167,0.14,0.01114566294286997,35,2.0,0.0,1.0,0.0,0.0,1.0
5170,1071,253200,60,4220,1.0,68,1286,1286,False,52,81150.6,9016,52,2.0,59,41,11,10,0.619,8363,0.108,0.9700000000000002,0.0016905015394354445,44,3.0,0.0,0.0,1.0,1.0,0.0
6721,8475,21072,24,878,1.0,4,10151,10459,False,17,30867.0,7716,17,5.0,99,15,6,7,0.614,8114,0.119,0.2400000000000002,0.0024033917528557157,29,1.0,0.0,1.0,0.0,1.0,0.0
7259,11111,108144,36,3004,1.0,1,13349,13657,True,59,21921.3,6292,59,6.0,41,29,9,6,0.621,8444,0.106,0.22999999999999998,-0.0026637029144583957,31,2.0,0.0,1.0,0.0,1.0,0.0
5285,1603,78936,12,6578,1.0,1,1944,1944,False,31,24601.0,4441,31,7.0,34,12,4,4,0.5920000000000001,8930,0.108,0.6800000000000002,0.0024165416171340595,37,2.0,0.0,1.0,0.0,1.0,0.0
