account_id,last_balance,mean_balance,min_balance,negative_balance,monthly_diff
25,31621.9,62991.264634146355,900.0,0.0,8588
37,16367.8,39953.97068965517,-1011.2,1.0,5453
38,37416.7,31383.449090909085,13841.0,0.0,-7155
97,40516.3,33057.374576271184,900.0,0.0,5099
103,19992.8,46266.57469879518,379.0,0.0,951
105,30175.3,30797.4875,800.0,0.0,1775
110,55539.8,46148.29761904761,900.0,0.0,5983
176,36280.9,48780.096,800.0,0.0,7470
226,66657.0,48376.25806451612,1000.0,0.0,10748
276,48339.6,51649.398305084746,700.0,0.0,-21990
303,48916.6,44659.649612403104,900.0,0.0,5335
309,14866.7,30173.12424242425,900.0,0.0,782
314,22674.3,38819.320212765946,700.0,0.0,-26067
319,59544.8,48648.401169590645,700.0,0.0,6000
330,55494.8,42007.366336633655,400.0,0.0,2774
339,102734.6,59623.216071428564,400.0,0.0,-42400
349,18696.6,17076.756470588236,1100.0,0.0,4353
378,49277.3,79500.53809523808,20574.0,0.0,11715
440,39526.2,25727.382352941186,500.0,0.0,6518
442,10100.0,5350.0,600.0,0.0,3366
472,38166.1,58669.5043478261,300.0,0.0,-40234
525,46478.3,45912.399999999994,300.0,0.0,5325
666,54562.2,41922.046710526316,200.0,0.0,8107
675,34768.4,29946.995238095245,900.0,0.0,6506
718,59256.4,40141.79545454546,500.0,0.0,11384
785,28471.9,51641.833333333336,700.0,0.0,-17976
825,21080.3,33129.40307692308,500.0,0.0,6952
873,19397.6,21491.790624999998,1000.0,0.0,4342
938,31277.6,23066.613333333335,700.0,0.0,6255
993,41338.5,50883.196874999994,1000.0,0.0,2066
1004,22144.8,64193.40472972973,200.0,0.0,1054
1068,48603.2,34086.20895522388,1000.0,0.0,8911
1083,21313.1,28050.29918699187,400.0,0.0,6581
1093,51738.6,47433.420588235276,1000.0,0.0,-41494
1242,31182.1,40526.454999999994,200.0,0.0,7630
1244,17662.3,22981.05593220339,900.0,0.0,3255
1252,26252.2,40688.34830508475,1000.0,0.0,-24027
1270,33277.4,24872.139436619713,500.0,0.0,-8788
1284,41050.0,59684.29885057472,1000.0,0.0,2413
1318,13694.4,27729.91714285715,200.0,0.0,3807
1329,19101.8,25967.495238095235,500.0,0.0,-5241
1374,88469.8,59749.88387096773,700.0,0.0,-46133
1389,17273.4,48989.18247422681,800.0,0.0,6723
1407,42152.2,71376.04415584417,800.0,0.0,16120
1447,29942.7,22604.34,300.0,0.0,-1895
1480,49599.2,55026.619999999995,800.0,0.0,2610
1498,43363.9,45342.20442477876,413.3,0.0,2168
1528,38391.7,32688.03333333334,500.0,0.0,2742
1580,67742.6,51370.480597014925,400.0,0.0,2945
1638,23652.7,45735.83829787234,900.0,0.0,4474
1656,37600.4,34760.228906250006,500.0,0.0,-14401
1718,72563.9,61146.523636363636,300.0,0.0,-33439
1776,37619.2,36159.705555555556,400.0,0.0,6616
1808,18109.0,69656.36923076924,400.0,0.0,1065
1819,16473.5,28370.441666666666,700.0,0.0,6059
1869,72915.1,61295.9691588785,500.0,0.0,3645
1876,57504.2,44982.42272727273,900.0,0.0,6572
1888,15016.3,36887.15599999999,-5851.2,1.0,-25871
1906,51718.3,51453.801123595505,1000.0,0.0,8523
1928,38463.8,29645.320175438595,500.0,0.0,-13067
2000,53388.9,44617.080952380944,900.0,0.0,6701
2018,16514.3,20231.313157894736,900.0,0.0,3191
2035,36423.3,47164.91871345029,400.0,0.0,-21789
2051,-204.8,53227.14444444444,-2804.8,1.0,-12
2055,11584.9,14873.378082191779,700.0,0.0,5334
2064,31814.7,29052.608823529412,500.0,0.0,-10830
2073,39246.8,41154.27910447762,600.0,0.0,2803
2080,86514.1,62852.91764705883,400.0,0.0,-36941
2116,46489.0,42291.185576923075,1000.0,0.0,6556
2134,49849.1,42536.88536585366,300.0,0.0,7640
2142,27807.9,40311.637037037035,1000.0,0.0,6763
2165,67058.7,42902.40714285714,800.0,0.0,-8202
2187,64314.3,64144.50223880597,300.0,0.0,3061
2246,13480.4,44265.27297297297,700.0,0.0,1348
2247,17104.4,45374.64242424244,600.0,0.0,4538
2262,94156.9,64923.162745098045,200.0,0.0,2157
2279,43140.7,53094.364485981314,600.0,0.0,-40173
2334,41196.7,31897.432978723402,600.0,0.0,-2452
2335,6360.9,12006.396551724136,-17030.4,1.0,4267
2350,53598.4,56388.810714285704,600.0,0.0,6001
2413,31076.0,28597.88620689655,500.0,0.0,6349
2445,14840.8,49740.62371134021,800.0,0.0,873
2516,60775.8,36161.02156862744,300.0,0.0,3198
2545,8707.1,22133.73545454546,1100.0,0.0,3529
2622,39847.5,31673.896923076925,300.0,0.0,7618
2699,45405.1,54598.838888888895,300.0,0.0,-42692
2720,75158.7,69554.29230769232,200.0,0.0,15771
2725,49870.2,49145.707586206896,1100.0,0.0,5539
2728,22039.7,49909.155555555575,400.0,0.0,8382
2753,17745.1,33039.89252336449,700.0,0.0,-17402
2754,29880.9,43629.43608247423,500.0,0.0,-38103
2872,12652.9,24411.29423076923,200.0,0.0,5905
2910,34015.2,48935.435849056616,900.0,0.0,-37504
2936,25977.1,20942.59435483871,200.0,0.0,4655
2982,79902.5,63500.406976744176,900.0,0.0,-42450
2986,72489.8,47061.85999999999,500.0,0.0,7142
2988,28833.5,51249.12985074627,900.0,0.0,1373
3005,23199.6,48798.69772727273,600.0,0.0,3937
3137,36718.7,39822.71111111111,900.0,0.0,-24266
3143,43648.0,31685.09911504425,300.0,0.0,5593
3161,94720.3,46609.34854368932,700.0,0.0,4305
3229,35436.7,60289.9544117647,300.0,0.0,13000
3249,16430.9,28808.999999999996,1100.0,0.0,5964
3273,23811.1,48061.85671641792,600.0,0.0,-52181
3293,57631.4,58466.19366197185,1100.0,0.0,-42429
3329,56435.5,36065.975,200.0,0.0,9048
3353,45020.6,44355.04090909091,200.0,0.0,7572
3390,50935.1,48478.59067796608,1100.0,0.0,-15925
3403,42629.7,54293.592405063304,700.0,0.0,3279
3418,46281.9,61345.1,400.0,0.0,5131
3448,36642.4,36855.823287671235,700.0,0.0,2155
3455,59310.8,46016.19824561403,600.0,0.0,-31603
3460,26863.5,57514.34705882353,300.0,0.0,2066
3556,27706.0,34822.46896551725,1100.0,0.0,-13079
3562,71242.6,58926.411188811195,1000.0,0.0,3097
3637,51799.6,51802.019230769234,400.0,0.0,6239
3664,92401.4,62387.09000000002,800.0,0.0,5435
3711,19163.5,45410.149999999994,400.0,0.0,3193
3859,10043.6,44484.07500000001,200.0,0.0,772
3862,43455.2,56133.6526627219,600.0,0.0,10731
3875,100675.4,58031.62727272727,1100.0,0.0,-18123
3906,49944.1,64863.95428571428,1100.0,0.0,-29312
3907,20985.9,42220.02946428572,600.0,0.0,434
3916,13446.7,21298.779999999995,800.0,0.0,-7961
3942,61126.0,57995.119047619046,600.0,0.0,8617
3953,43635.1,59128.587499999994,500.0,0.0,-23281
3967,16915.7,41766.693750000006,900.0,0.0,2819
4033,37381.6,29824.124999999996,1000.0,0.0,9345
4052,51095.2,36071.942307692305,900.0,0.0,-16061
4099,37069.1,38559.26407766991,800.0,0.0,5238
4116,59126.9,66345.6825,1000.0,0.0,11002
4127,-1571.5,26649.7703125,-1571.5,1.0,2804
4144,53222.2,49635.71543624161,1100.0,0.0,9580
4190,41532.1,34044.42954545454,700.0,0.0,6082
4268,57965.7,37122.396124031,200.0,0.0,7506
4293,82971.3,49558.68571428572,500.0,0.0,6085
4320,64529.7,53636.374712643665,-2542.1,1.0,4963
4342,55023.7,56496.391366906486,700.0,0.0,7965
4354,59536.5,49281.73888888889,1000.0,0.0,12563
4361,78119.7,77525.11692307693,700.0,0.0,-42534
4415,35310.2,44234.82947368421,600.0,0.0,8548
4456,37078.3,76826.46397058823,700.0,0.0,2181
4467,28804.1,28459.645238095247,300.0,0.0,-10781
4473,49548.5,54520.20224719101,800.0,0.0,8970
